run,fit1,node1,fit2,node2
4,19899,3.4950_2.5000_2.5000_2.5000_1.5050,9950,2.5000_2.5000_2.5000_2.5000_1.5050
4,9950,2.5000_2.5000_2.5000_2.5000_1.5050,9950,2.5000_2.5000_2.5000_2.5000_1.5050
4,9950,2.5000_2.5000_2.5000_2.5000_1.5050,0,2.5000_2.5000_2.5000_2.5000_2.5000
4,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
5,311081,-0.4911_-0.4911_-0.4911_0.5066_1.5044,307206,0.5066_-0.4912_-1.4889_0.5066_2.5021
5,307206,0.5066_-0.4912_-1.4889_0.5066_2.5021,307206,-0.4912_0.5066_-1.4889_0.5066_2.5021
5,307206,-0.4912_0.5066_-1.4889_0.5066_2.5021,238790,0.5101_-0.4849_-0.4849_1.5050_3.4950
5,238790,0.5101_-0.4849_-0.4849_1.5050_3.4950,218890,1.5050_0.5101_-1.4798_2.5000_1.5050
5,218890,1.5050_0.5101_-1.4798_2.5000_1.5050,189042,1.5050_-0.4849_-0.4849_2.5000_2.5000
5,189042,1.5050_-0.4849_-0.4849_2.5000_2.5000,139294,1.5050_0.5101_-0.4849_2.5000_2.5000
5,139294,1.5050_0.5101_-0.4849_2.5000_2.5000,89546,0.5101_1.5050_0.5101_2.5000_2.5000
5,89546,0.5101_1.5050_0.5101_2.5000_2.5000,49748,1.5050_2.5000_0.5101_2.5000_2.5000
5,49748,1.5050_2.5000_0.5101_2.5000_2.5000,29849,1.5050_3.4950_1.5050_2.5000_2.5000
5,29849,1.5050_3.4950_1.5050_2.5000_2.5000,19899,2.5000_3.4950_2.5000_3.4950_2.5000
5,19899,2.5000_3.4950_2.5000_3.4950_2.5000,19899,2.5000_2.5000_3.4950_3.4950_2.5000
5,19899,2.5000_2.5000_3.4950_3.4950_2.5000,9950,2.5000_2.5000_2.5000_2.5000_1.5050
5,9950,2.5000_2.5000_2.5000_2.5000_1.5050,9950,2.5000_2.5000_2.5000_2.5000_1.5050
5,9950,2.5000_2.5000_2.5000_2.5000_1.5050,9950,1.5050_2.5000_2.5000_2.5000_2.5000
5,9950,1.5050_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
5,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
5,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
5,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
6,567160,0.5066_0.5066_4.4976_-4.4821_-2.4866,368170,-0.4912_-0.4912_2.5021_-1.4889_-0.4912
6,368170,-0.4912_-0.4912_2.5021_-1.4889_-0.4912,337688,-0.4912_-0.4912_2.5021_-1.4889_0.5066
6,337688,-0.4912_-0.4912_2.5021_-1.4889_0.5066,218891,0.5101_0.5101_3.4950_0.5101_-0.4849
6,218891,0.5101_0.5101_3.4950_0.5101_-0.4849,189041,1.5050_2.5000_3.4950_1.5050_-1.4798
6,189041,1.5050_2.5000_3.4950_1.5050_-1.4798,165903,2.5021_3.4999_3.4999_2.5021_-1.4889
6,165903,2.5021_3.4999_3.4999_2.5021_-1.4889,139294,0.5101_3.4950_4.4899_1.5050_0.5101
6,139294,0.5101_3.4950_4.4899_1.5050_0.5101,139294,1.5050_2.5000_4.4899_2.5000_-0.4849
6,139294,1.5050_2.5000_4.4899_2.5000_-0.4849,129345,2.5000_0.5101_4.4899_1.5050_0.5101
6,129345,2.5000_0.5101_4.4899_1.5050_0.5101,99496,2.5000_0.5101_3.4950_1.5050_0.5101
6,99496,2.5000_0.5101_3.4950_1.5050_0.5101,60076,4.4976_3.4999_4.4976_3.4999_3.4999
6,60076,4.4976_3.4999_4.4976_3.4999_3.4999,60076,4.4976_3.4999_4.4976_3.4999_3.4999
6,60076,4.4976_3.4999_4.4976_3.4999_3.4999,55082,3.4999_3.4999_4.4976_3.4999_3.4999
6,55082,3.4999_3.4999_4.4976_3.4999_3.4999,29849,3.4950_2.5000_3.4950_3.4950_2.5000
6,29849,3.4950_2.5000_3.4950_3.4950_2.5000,19899,2.5000_2.5000_3.4950_3.4950_2.5000
6,19899,2.5000_2.5000_3.4950_3.4950_2.5000,9950,2.5000_2.5000_3.4950_2.5000_2.5000
6,9950,2.5000_2.5000_3.4950_2.5000_2.5000,9950,2.5000_2.5000_3.4950_2.5000_2.5000
6,9950,2.5000_2.5000_3.4950_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
6,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
6,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
6,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
6,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
6,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
7,372644,1.5044_-4.4821_4.4976_1.5044_4.4976,318312,1.5044_-3.4844_3.4999_0.5066_3.4999
7,318312,1.5044_-3.4844_3.4999_0.5066_3.4999,243486,1.5044_-2.4866_3.4999_1.5044_2.5021
7,243486,1.5044_-2.4866_3.4999_1.5044_2.5021,189042,0.5101_-0.4849_1.5050_0.5101_3.4950
7,189042,0.5101_-0.4849_1.5050_0.5101_3.4950,19899,2.5000_1.5050_2.5000_1.5050_2.5000
7,19899,2.5000_1.5050_2.5000_1.5050_2.5000,9950,2.5000_2.5000_3.4950_2.5000_2.5000
7,9950,2.5000_2.5000_3.4950_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
7,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
7,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
7,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
7,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
8,653612,2.5021_-3.4844_-3.4844_1.5044_-2.4866,588773,3.4999_-3.4844_-1.4889_2.5021_-3.4844
8,588773,3.4999_-3.4844_-1.4889_2.5021_-3.4844,548304,3.4999_-1.4889_-3.4844_-0.4912_-1.4889
8,548304,3.4999_-1.4889_-3.4844_-0.4912_-1.4889,513947,4.4976_0.5066_-1.4889_-2.4866_-2.4866
8,513947,4.4976_0.5066_-1.4889_-2.4866_-2.4866,513947,4.4976_0.5066_-1.4889_-2.4866_-2.4866
