run,fit1,node1,fit2,node2
17,492334,-2.4866_-3.4844_2.5021_-0.4912_3.4999,491216,-2.4866_-3.4844_1.5044_0.5066_1.5044
17,491216,-2.4866_-3.4844_1.5044_0.5066_1.5044,442996,-0.4912_-3.4844_0.5066_2.5021_-0.4912
17,442996,-0.4912_-3.4844_0.5066_2.5021_-0.4912,317194,2.5021_0.5066_-0.4912_3.4999_-2.4866
17,317194,2.5021_0.5066_-0.4912_3.4999_-2.4866,282837,3.4999_0.5066_0.5066_3.4999_-2.4866
17,282837,3.4999_0.5066_0.5066_3.4999_-2.4866,281199,4.4976_2.5021_2.5021_4.4976_-3.4844
17,281199,4.4976_2.5021_2.5021_4.4976_-3.4844,219116,4.4976_2.5021_2.5021_3.4999_-2.4866
17,219116,4.4976_2.5021_2.5021_3.4999_-2.4866,188635,4.4976_1.5044_2.5021_4.4976_-1.4889
17,188635,4.4976_1.5044_2.5021_4.4976_-1.4889,183641,3.4999_1.5044_2.5021_4.4976_-1.4889
17,183641,3.4999_1.5044_2.5021_4.4976_-1.4889,119395,3.4950_1.5050_2.5000_3.4950_-0.4849
17,119395,3.4950_1.5050_2.5000_3.4950_-0.4849,79597,3.4950_1.5050_0.5101_1.5050_1.5050
17,79597,3.4950_1.5050_0.5101_1.5050_1.5050,59697,3.4950_2.5000_0.5101_1.5050_2.5000
17,59697,3.4950_2.5000_0.5101_1.5050_2.5000,39798,1.5050_3.4950_1.5050_2.5000_3.4950
17,39798,1.5050_3.4950_1.5050_2.5000_3.4950,19899,2.5000_3.4950_2.5000_2.5000_3.4950
17,19899,2.5000_3.4950_2.5000_2.5000_3.4950,19899,3.4950_2.5000_1.5050_2.5000_2.5000
17,19899,3.4950_2.5000_1.5050_2.5000_2.5000,19899,2.5000_3.4950_1.5050_2.5000_2.5000
17,19899,2.5000_3.4950_1.5050_2.5000_2.5000,9950,3.4950_2.5000_2.5000_2.5000_2.5000
17,9950,3.4950_2.5000_2.5000_2.5000_2.5000,9950,2.5000_2.5000_3.4950_2.5000_2.5000
17,9950,2.5000_2.5000_3.4950_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
17,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
17,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
17,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
18,449108,-3.4844_-0.4912_4.4976_-1.4889_2.5021,382032,-3.4844_0.5066_2.5021_0.5066_0.5066
18,382032,-3.4844_0.5066_2.5021_0.5066_0.5066,378157,-3.4844_0.5066_3.4999_0.5066_0.5066
18,378157,-3.4844_0.5066_3.4999_0.5066_0.5066,351551,-2.4867_-0.4911_3.4998_0.5066_0.5066
18,351551,-2.4867_-0.4911_3.4998_0.5066_0.5066,326062,-3.4844_0.5066_1.5044_2.5021_2.5021
18,326062,-3.4844_0.5066_1.5044_2.5021_2.5021,299456,-2.4866_1.5044_0.5066_0.5066_3.4999
18,299456,-2.4866_1.5044_0.5066_0.5066_3.4999,189042,-0.4849_2.5000_1.5050_-0.4849_2.5000
18,189042,-0.4849_2.5000_1.5050_-0.4849_2.5000,99496,0.5101_1.5050_1.5050_0.5101_2.5000
18,99496,0.5101_1.5050_1.5050_0.5101_2.5000,59697,1.5050_2.5000_1.5050_0.5101_2.5000
18,59697,1.5050_2.5000_1.5050_0.5101_2.5000,39798,1.5050_2.5000_1.5050_1.5050_1.5050
18,39798,1.5050_2.5000_1.5050_1.5050_1.5050,19899,1.5050_1.5050_2.5000_2.5000_2.5000
18,19899,1.5050_1.5050_2.5000_2.5000_2.5000,9950,1.5050_2.5000_2.5000_2.5000_2.5000
18,9950,1.5050_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
18,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
19,296699,1.5044_-2.4866_-0.4912_4.4976_3.4999,247361,1.5044_-1.4889_-0.4912_3.4999_2.5021
19,247361,1.5044_-1.4889_-0.4912_3.4999_2.5021,139294,1.5050_0.5101_0.5101_3.4950_0.5101
19,139294,1.5050_0.5101_0.5101_3.4950_0.5101,99496,0.5101_0.5101_1.5050_2.5000_1.5050
19,99496,0.5101_0.5101_1.5050_2.5000_1.5050,39798,1.5050_1.5050_2.5000_1.5050_1.5050
19,39798,1.5050_1.5050_2.5000_1.5050_1.5050,29849,1.5050_2.5000_2.5000_1.5050_1.5050
19,29849,1.5050_2.5000_2.5000_1.5050_1.5050,29849,2.5000_2.5000_1.5050_1.5050_1.5050
19,29849,2.5000_2.5000_1.5050_1.5050_1.5050,19899,2.5000_2.5000_1.5050_1.5050_2.5000
19,19899,2.5000_2.5000_1.5050_1.5050_2.5000,19899,3.4950_2.5000_1.5050_2.5000_2.5000
19,19899,3.4950_2.5000_1.5050_2.5000_2.5000,9950,3.4950_2.5000_2.5000_2.5000_2.5000
19,9950,3.4950_2.5000_2.5000_2.5000_2.5000,9950,3.4950_2.5000_2.5000_2.5000_2.5000
19,9950,3.4950_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
19,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
19,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
19,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
19,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
19,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
20,318312,-1.4889_-2.4866_2.5021_3.4999_3.4999,247361,-0.4912_-0.4912_0.5066_4.4976_1.5044
20,247361,-0.4912_-0.4912_0.5066_4.4976_1.5044,234617,-0.4912_-0.4912_0.5066_4.4976_2.5021
20,234617,-0.4912_-0.4912_0.5066_4.4976_2.5021,234617,-1.4889_0.5066_1.5044_4.4976_1.5043
20,234617,-1.4889_0.5066_1.5044_4.4976_1.5043,189041,-1.4798_1.5050_1.5050_2.5000_1.5050
20,189041,-1.4798_1.5050_1.5050_2.5000_1.5050,169143,0.5101_-0.4849_0.5101_2.5000_2.5000
20,169143,0.5101_-0.4849_0.5101_2.5000_2.5000,149244,1.5050_-0.4849_0.5101_1.5050_2.5000
20,149244,1.5050_-0.4849_0.5101_1.5050_2.5000,139294,1.5050_-0.4849_0.5101_2.5000_2.5000
20,139294,1.5050_-0.4849_0.5101_2.5000_2.5000,99496,2.5000_-0.4849_1.5050_2.5000_2.5000
20,99496,2.5000_-0.4849_1.5050_2.5000_2.5000,69647,3.4950_1.5050_2.5000_1.5050_0.5101
20,69647,3.4950_1.5050_2.5000_1.5050_0.5101,19899,2.5000_2.5000_2.5000_1.5050_1.5050
20,19899,2.5000_2.5000_2.5000_1.5050_1.5050,19899,2.5000_2.5000_3.4950_2.5000_1.5050
20,19899,2.5000_2.5000_3.4950_2.5000_1.5050,9950,3.4950_2.5000_2.5000_2.5000_2.5000
20,9950,3.4950_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
20,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
20,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
20,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
20,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
21,498447,4.4976_-3.4844_1.5044_-3.4844_3.4999,473478,1.5044_-1.4889_-0.4912_-3.4844_1.5044
21,473478,1.5044_-1.4889_-0.4912_-3.4844_1.5044,268638,0.5101_-0.4849_1.5050_-0.4849_0.5101
21,268638,0.5101_-0.4849_1.5050_-0.4849_0.5101,49748,2.5000_1.5050_2.5000_0.5101_2.5000
21,49748,2.5000_1.5050_2.5000_0.5101_2.5000,29849,2.5000_1.5050_2.5000_1.5050_3.4950
21,29849,2.5000_1.5050_2.5000_1.5050_3.4950,29849,2.5000_1.5050_2.5000_1.5050_3.4950
21,29849,2.5000_1.5050_2.5000_1.5050_3.4950,29849,1.5050_2.5000_1.5050_1.5050_2.5000
21,29849,1.5050_2.5000_1.5050_1.5050_2.5000,9950,2.5000_2.5000_1.5050_2.5000_2.5000
21,9950,2.5000_2.5000_1.5050_2.5000_2.5000,9950,2.5000_2.5000_2.5000_2.5000_3.4950
21,9950,2.5000_2.5000_2.5000_2.5000_3.4950,9950,2.5000_2.5000_2.5000_2.5000_3.4950
21,9950,2.5000_2.5000_2.5000_2.5000_3.4950,0,2.5000_2.5000_2.5000_2.5000_2.5000
21,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
21,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
21,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
21,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
22,89546,2.5000_0.5101_2.5000_0.5101_3.4950,29849,2.5000_1.5050_2.5000_1.5050_3.4950
22,29849,2.5000_1.5050_2.5000_1.5050_3.4950,9950,2.5000_2.5000_2.5000_1.5050_2.5000
22,9950,2.5000_2.5000_2.5000_1.5050_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
22,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
22,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
22,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
22,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
22,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
23,677803,1.5044_-1.4889_-4.4821_0.5066_5.1200,656190,1.5044_-1.4889_-4.4821_1.5044_5.1200
23,656190,1.5044_-1.4889_-4.4821_1.5044_5.1200,418627,2.5021_-1.4889_-3.4844_0.5066_4.4976
23,418627,2.5021_-1.4889_-3.4844_0.5066_4.4976,392020,2.5021_-1.4889_-2.4866_-0.4912_4.4976
23,392020,2.5021_-1.4889_-2.4866_-0.4912_4.4976,352669,1.5044_-2.4866_-1.4889_1.5044_4.4976
23,352669,1.5044_-2.4866_-1.4889_1.5044_4.4976,322187,-0.4912_-2.4866_0.5066_2.5021_4.4976
23,322187,-0.4912_-2.4866_0.5066_2.5021_4.4976,322187,-0.4912_-2.4866_0.5066_2.5021_4.4976
23,322187,-0.4912_-2.4866_0.5066_2.5021_4.4976,312200,0.5066_-1.4889_-1.4889_2.5021_2.5021
23,312200,0.5066_-1.4889_-1.4889_2.5021_2.5021,303331,1.5044_-1.4889_-1.4889_2.5021_1.5044
23,303331,1.5044_-1.4889_-1.4889_2.5021_1.5044,119395,2.5000_0.5101_0.5101_0.5101_2.5000
23,119395,2.5000_0.5101_0.5101_0.5101_2.5000,119395,2.5000_0.5101_0.5101_0.5101_2.5000
23,119395,2.5000_0.5101_0.5101_0.5101_2.5000,49748,1.5050_1.5050_1.5050_1.5050_3.4950
23,49748,1.5050_1.5050_1.5050_1.5050_3.4950,39798,1.5050_1.5050_1.5050_1.5050_2.5000
23,39798,1.5050_1.5050_1.5050_1.5050_2.5000,29849,1.5050_1.5050_2.5000_1.5050_2.5000
23,29849,1.5050_1.5050_2.5000_1.5050_2.5000,19899,1.5050_2.5000_3.4950_2.5000_2.5000
23,19899,1.5050_2.5000_3.4950_2.5000_2.5000,9950,2.5000_3.4950_2.5000_2.5000_2.5000
23,9950,2.5000_3.4950_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
23,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
23,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
23,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
24,413633,3.4999_-1.4889_0.5066_2.5021_-3.4844,342682,0.5066_0.5066_-1.4889_3.4999_-1.4889
24,342682,0.5066_0.5066_-1.4889_3.4999_-1.4889,326062,2.5021_2.5021_1.5044_0.5066_-3.4844
24,326062,2.5021_2.5021_1.5044_0.5066_-3.4844,251236,3.4999_0.5066_0.5066_1.5044_-1.4889
24,251236,3.4999_0.5066_0.5066_1.5044_-1.4889,248739,2.5000_1.5050_0.5101_0.5101_-1.4798
24,248739,2.5000_1.5050_0.5101_0.5101_-1.4798,139294,2.5000_2.5000_1.5050_0.5101_-0.4849
24,139294,2.5000_2.5000_1.5050_0.5101_-0.4849,59697,3.4950_2.5000_2.5000_1.5050_0.5101
24,59697,3.4950_2.5000_2.5000_1.5050_0.5101,59697,3.4950_1.5050_2.5000_2.5000_0.5101
24,59697,3.4950_1.5050_2.5000_2.5000_0.5101,29849,3.4950_1.5050_2.5000_2.5000_1.5050
24,29849,3.4950_1.5050_2.5000_2.5000_1.5050,29849,3.4950_1.5050_2.5000_2.5000_1.5050
24,29849,3.4950_1.5050_2.5000_2.5000_1.5050,19899,2.5000_1.5050_2.5000_3.4950_2.5000
24,19899,2.5000_1.5050_2.5000_3.4950_2.5000,19899,1.5050_2.5000_2.5000_3.4950_2.5000
24,19899,1.5050_2.5000_2.5000_3.4950_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
24,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
24,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
24,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
24,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
24,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
25,1603108,5.1200_-5.1200_-5.1200_5.1200_5.1200,1290271,5.1200_5.1200_-5.1200_5.1200_5.1200
25,1290271,5.1200_5.1200_-5.1200_5.1200_5.1200,928202,5.1200_4.4976_-5.1200_5.1200_2.5021
25,928202,5.1200_4.4976_-5.1200_5.1200_2.5021,380394,4.4976_2.5021_-4.4821_2.5021_0.5066
25,380394,4.4976_2.5021_-4.4821_2.5021_0.5066,309443,3.4999_2.5021_-3.4844_2.5021_0.5066
25,309443,3.4999_2.5021_-3.4844_2.5021_0.5066,285593,1.5044_2.5021_-1.4889_0.5066_-0.4912
25,285593,1.5044_2.5021_-1.4889_0.5066_-0.4912,208940,2.5000_2.5000_-1.4798_1.5050_0.5101
25,208940,2.5000_2.5000_-1.4798_1.5050_0.5101,189041,1.5050_1.5050_-1.4798_2.5000_1.5050
25,189041,1.5050_1.5050_-1.4798_2.5000_1.5050,179092,2.5000_1.5050_-1.4798_2.5000_1.5050
25,179092,2.5000_1.5050_-1.4798_2.5000_1.5050,59697,1.5050_2.5000_0.5101_2.5000_1.5050
25,59697,1.5050_2.5000_0.5101_2.5000_1.5050,19899,1.5050_2.5000_1.5050_2.5000_2.5000
25,19899,1.5050_2.5000_1.5050_2.5000_2.5000,19899,1.5050_2.5000_1.5050_2.5000_2.5000
25,19899,1.5050_2.5000_1.5050_2.5000_2.5000,9950,2.5000_2.5000_2.5000_3.4950_2.5000
25,9950,2.5000_2.5000_2.5000_3.4950_2.5000,9950,2.5000_2.5000_2.5000_3.4950_2.5000
25,9950,2.5000_2.5000_2.5000_3.4950_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
25,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
25,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
25,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
25,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
26,1113686,-0.4911_-3.4844_-4.4821_-5.1200_2.5021,230742,3.4999_2.5021_2.5021_1.5044_-2.4866
26,230742,3.4999_2.5021_2.5021_1.5044_-2.4866,189041,1.5050_3.4950_2.5000_1.5050_-1.4798
26,189041,1.5050_3.4950_2.5000_1.5050_-1.4798,179092,2.5000_3.4950_2.5000_1.5050_-1.4798
26,179092,2.5000_3.4950_2.5000_1.5050_-1.4798,178647,3.4999_3.4999_2.5021_1.5044_-1.4889
26,178647,3.4999_3.4999_2.5021_1.5044_-1.4889,131546,3.4999_4.4976_2.5021_2.5021_-0.4912
26,131546,3.4999_4.4976_2.5021_2.5021_-0.4912,99496,1.5050_4.4899_3.4950_2.5000_0.5101
26,99496,1.5050_4.4899_3.4950_2.5000_0.5101,69647,1.5050_4.4899_1.5050_2.5000_1.5050
26,69647,1.5050_4.4899_1.5050_2.5000_1.5050,59697,2.5000_4.4899_1.5050_3.4950_2.5000
26,59697,2.5000_4.4899_1.5050_3.4950_2.5000,39798,2.5000_4.4899_2.5000_2.5000_2.5000
26,39798,2.5000_4.4899_2.5000_2.5000_2.5000,19899,2.5000_3.4950_1.5050_2.5000_2.5000
26,19899,2.5000_3.4950_1.5050_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
26,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
26,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
27,715694,3.4999_0.5066_-4.4821_-4.4821_-0.4911,664209,3.4999_2.5021_-5.1200_-1.4889_2.5021
27,664209,3.4999_2.5021_-5.1200_-1.4889_2.5021,480709,4.4976_0.5066_-4.4821_-1.4889_3.4999
27,480709,4.4976_0.5066_-4.4821_-1.4889_3.4999,466846,3.4999_-0.4912_-4.4821_-0.4912_3.4999
27,466846,3.4999_-0.4912_-4.4821_-0.4912_3.4999,304450,1.5044_-1.4889_-1.4889_1.5044_4.4976
27,304450,1.5044_-1.4889_-1.4889_1.5044_4.4976,119395,2.5000_0.5101_0.5101_2.5000_4.4899
27,119395,2.5000_0.5101_0.5101_2.5000_4.4899,59697,3.4950_2.5000_1.5050_0.5101_2.5000
27,59697,3.4950_2.5000_1.5050_0.5101_2.5000,19899,2.5000_2.5000_1.5050_1.5050_2.5000
27,19899,2.5000_2.5000_1.5050_1.5050_2.5000,9950,2.5000_2.5000_1.5050_2.5000_2.5000
27,9950,2.5000_2.5000_1.5050_2.5000_2.5000,9950,2.5000_1.5050_2.5000_2.5000_2.5000
27,9950,2.5000_1.5050_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
27,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
27,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
27,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
27,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
28,356544,-0.4912_-2.4866_4.4976_0.5066_0.5066,334931,0.5066_-3.4844_3.4999_1.5044_1.5044
28,334931,0.5066_-3.4844_3.4999_1.5044_1.5044,273968,-0.4912_-1.4889_4.4976_0.5066_2.5021
28,273968,-0.4912_-1.4889_4.4976_0.5066_2.5021,217998,-1.4889_0.5066_4.4976_1.5044_3.4999
28,217998,-1.4889_0.5066_4.4976_1.5044_3.4999,205254,-0.4912_0.5066_4.4976_0.5066_4.4976
28,205254,-0.4912_0.5066_4.4976_0.5066_4.4976,99496,0.5101_2.5000_4.4899_1.5050_3.4950
28,99496,0.5101_2.5000_4.4899_1.5050_3.4950,59697,0.5101_2.5000_3.4950_2.5000_3.4950
28,59697,0.5101_2.5000_3.4950_2.5000_3.4950,39798,1.5050_3.4950_3.4950_2.5000_3.4950
28,39798,1.5050_3.4950_3.4950_2.5000_3.4950,39798,2.5000_3.4950_1.5050_3.4950_1.5050
28,39798,2.5000_3.4950_1.5050_3.4950_1.5050,9950,2.5000_2.5000_2.5000_3.4950_2.5000
28,9950,2.5000_2.5000_2.5000_3.4950_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
28,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
29,911329,-4.4821_0.5066_-1.4889_-4.4821_-2.4866,814890,-3.4844_1.5044_-1.4889_-3.4844_-3.4844
29,814890,-3.4844_1.5044_-1.4889_-3.4844_-3.4844,639750,-3.4844_2.5021_-2.4866_-1.4889_-1.4889
29,639750,-3.4844_2.5021_-2.4866_-1.4889_-1.4889,639750,-2.4866_2.5021_-3.4844_-1.4889_-1.4889
29,639750,-2.4866_2.5021_-3.4844_-1.4889_-1.4889,342503,-0.4912_1.5044_4.4976_1.5044_5.1200
29,342503,-0.4912_1.5044_4.4976_1.5044_5.1200,329759,-0.4912_2.5021_4.4976_1.5044_5.1200
29,329759,-0.4912_2.5021_4.4976_1.5044_5.1200,29849,1.5050_2.5000_3.4950_1.5050_2.5000
29,29849,1.5050_2.5000_3.4950_1.5050_2.5000,29849,1.5050_1.5050_2.5000_1.5050_2.5000
29,29849,1.5050_1.5050_2.5000_1.5050_2.5000,19899,1.5050_1.5050_2.5000_2.5000_2.5000
29,19899,1.5050_1.5050_2.5000_2.5000_2.5000,19899,2.5000_1.5050_2.5000_2.5000_1.5050
29,19899,2.5000_1.5050_2.5000_2.5000_1.5050,9950,2.5000_1.5050_2.5000_2.5000_2.5000
29,9950,2.5000_1.5050_2.5000_2.5000_2.5000,9950,2.5000_2.5000_2.5000_3.4950_2.5000
29,9950,2.5000_2.5000_2.5000_3.4950_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
29,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
29,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
30,129345,0.5101_0.5101_1.5050_2.5000_0.5101,69647,0.5101_1.5050_1.5050_2.5000_1.5050
30,69647,0.5101_1.5050_1.5050_2.5000_1.5050,29849,1.5050_1.5050_2.5000_1.5050_2.5000
30,29849,1.5050_1.5050_2.5000_1.5050_2.5000,19899,1.5050_2.5000_2.5000_1.5050_2.5000
30,19899,1.5050_2.5000_2.5000_1.5050_2.5000,9950,2.5000_2.5000_2.5000_1.5050_2.5000
30,9950,2.5000_2.5000_2.5000_1.5050_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
30,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
30,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
30,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
31,746786,-5.1200_-1.4889_4.4976_-0.4911_1.5044,588773,-4.4821_-1.4889_4.4976_-1.4889_0.5066
31,588773,-4.4821_-1.4889_4.4976_-1.4889_0.5066,402348,1.5043_0.5066_-1.4889_2.5021_5.1200
31,402348,1.5043_0.5066_-1.4889_2.5021_5.1200,234617,1.5044_0.5066_-1.4889_1.5044_4.4976
31,234617,1.5044_0.5066_-1.4889_1.5044_4.4976,179092,0.5101_1.5050_-0.4849_2.5000_4.4899
31,179092,0.5101_1.5050_-0.4849_2.5000_4.4899,169142,-1.4798_2.5000_1.5050_2.5000_2.5000
31,169142,-1.4798_2.5000_1.5050_2.5000_2.5000,149244,-0.4849_2.5000_0.5101_1.5050_3.4950
31,149244,-0.4849_2.5000_0.5101_1.5050_3.4950,139294,-0.4849_2.5000_1.5050_2.5000_4.4899
31,139294,-0.4849_2.5000_1.5050_2.5000_4.4899,109445,0.5101_1.5050_1.5050_1.5050_4.4899
31,109445,0.5101_1.5050_1.5050_1.5050_4.4899,59697,1.5050_2.5000_2.5000_1.5050_4.4899
31,59697,1.5050_2.5000_2.5000_1.5050_4.4899,29849,2.5000_3.4950_2.5000_1.5050_3.4950
31,29849,2.5000_3.4950_2.5000_1.5050_3.4950,29849,1.5050_3.4950_2.5000_2.5000_3.4950
31,29849,1.5050_3.4950_2.5000_2.5000_3.4950,19899,2.5000_3.4950_2.5000_2.5000_3.4950
31,19899,2.5000_3.4950_2.5000_2.5000_3.4950,9950,2.5000_1.5050_2.5000_2.5000_2.5000
31,9950,2.5000_1.5050_2.5000_2.5000_2.5000,9950,2.5000_2.5000_2.5000_3.4950_2.5000
31,9950,2.5000_2.5000_2.5000_3.4950_2.5000,9950,1.5050_2.5000_2.5000_2.5000_2.5000
31,9950,1.5050_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
31,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
31,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
31,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
31,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
31,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
32,670231,1.5044_-1.4889_-4.4821_-1.4889_-1.4889,578786,1.5043_0.5066_-4.4821_-2.4866_0.5066
32,578786,1.5043_0.5066_-4.4821_-2.4866_0.5066,539435,1.5044_-1.4889_-4.4821_-0.4912_1.5044
32,539435,1.5044_-1.4889_-4.4821_-0.4912_1.5044,495091,-1.4889_-0.4912_-1.4889_-2.4866_2.5021
32,495091,-1.4889_-0.4912_-1.4889_-2.4866_2.5021,474596,0.5066_1.5044_-2.4866_-3.4844_3.4999
32,474596,0.5066_1.5044_-2.4866_-3.4844_3.4999,260105,1.5044_1.5044_-0.4912_-1.4889_3.4999
32,260105,1.5044_1.5044_-0.4912_-1.4889_3.4999,159193,2.5000_0.5101_0.5101_0.5101_4.4899
32,159193,2.5000_0.5101_0.5101_0.5101_4.4899,149244,2.5000_-0.4849_1.5050_1.5050_4.4899
32,149244,2.5000_-0.4849_1.5050_1.5050_4.4899,119395,2.5000_0.5101_0.5101_2.5000_4.4899
32,119395,2.5000_0.5101_0.5101_2.5000_4.4899,79597,1.5050_3.4950_1.5050_3.4950_0.5101
32,79597,1.5050_3.4950_1.5050_3.4950_0.5101,59697,2.5000_3.4950_1.5050_2.5000_0.5101
32,59697,2.5000_3.4950_1.5050_2.5000_0.5101,39798,1.5050_3.4950_1.5050_2.5000_1.5050
32,39798,1.5050_3.4950_1.5050_2.5000_1.5050,29849,1.5050_2.5000_2.5000_1.5050_1.5050
32,29849,1.5050_2.5000_2.5000_1.5050_1.5050,19899,2.5000_2.5000_2.5000_1.5050_1.5050
32,19899,2.5000_2.5000_2.5000_1.5050_1.5050,9950,2.5000_2.5000_2.5000_2.5000_1.5050
